b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
1572864	1572864	507256	507272	1048576	79716	934812	1048576	288184	208468	0	311699	91	
1572864	1572864	507252	507276	1048576	205768	808760	1048576	285484	79716	0	519975	100	
1572864	1572864	507256	507272	1048576	151536	862992	1048576	357208	205672	0	875286	99	
1572864	1572864	507084	507444	1048576	176504	838024	1048576	327676	151172	0	594437	99	
1572864	1572864	507232	507296	1048576	103564	910964	1048576	279940	176376	0	575238	99	
1572864	1572864	507260	507268	1048576	6120	1008408	1048576	109684	103564	0	228383	100	
1572864	1572864	503364	511164	1048576	283692	730836	1048576	264368	6120	0	104022	100	
1572864	1572864	507248	507280	1048576	161228	853300	1048576	419448	258220	0	181020	99	
1572864	1572864	507248	507280	1048576	272380	742148	1048576	405936	161200	0	94773	99	
1572864	1572864	505420	509108	1048576	165336	849192	1048576	409228	243892	0	122924	99	
1572864	1572864	505904	508624	1048576	114556	899972	1048576	279864	165308	0	103747	99	
