b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565372	4	9437184	1284	4564092	9437184	101752	100468	0	252425	98	
14155776	14155776	4565248	128	9437184	6276	4559100	9437184	6996	720	0	91499	56	
14155776	14155776	4565360	16	9437184	37476	4527900	9437184	9496	876	0	107773	13	
14155776	14155776	4565372	4	9437184	35644	4529732	9437184	8604	3480	0	106990	40	
14155776	14155776	4565344	32	9437184	6412	4558964	9437184	7580	1168	0	87451	22	
14155776	14155776	4565356	20	9437184	2080	4563296	9437184	2080	0	0	79588	0	
14155776	14155776	4565328	48	9437184	3780	4561596	9437184	5140	1360	0	90786	65	
14155776	14155776	4565364	12	9437184	6480	4558896	9437184	6480	0	0	75713	0	
14155776	14155776	4565324	52	9437184	2872	4562504	9437184	2872	0	0	76501	0	
14155776	14155776	4565196	180	9437184	2920	4562456	9437184	3488	568	0	86848	19	
