b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
12582912	12582912	4058108	4	8388608	34692	4023420	8388608	103772	99648	0	351858	93	
12582912	12582912	4058044	68	8388608	38232	4019880	8388608	10272	1116	0	144036	27	
12582912	12582912	4058096	16	8388608	38456	4019656	8388608	11268	3012	0	155740	32	
12582912	12582912	4057996	116	8388608	3148	4054964	8388608	5284	2136	0	85172	25	
12582912	12582912	4058104	8	8388608	5752	4052360	8388608	5972	220	0	91433	6	
12582912	12582912	4057944	168	8388608	4788	4053324	8388608	4788	0	0	78530	0	
12582912	12582912	4058088	24	8388608	5928	4052184	8388608	6036	108	0	83406	2	
12582912	12582912	4057660	452	8388608	1576	4056536	8388608	2600	1024	0	81331	17	
12582912	12582912	4058088	24	8388608	2132	4055980	8388608	2132	0	0	76458	0	
12582912	12582912	4058080	32	8388608	5916	4052196	8388608	5916	0	0	80756	0	
12582912	12582912	4058024	88	8388608	464	4057648	8388608	1476	1012	0	87587	17	
12582912	12582912	4058076	36	8388608	5892	4052220	8388608	5892	0	0	81468	0	
