b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
11010048	11010048	3550476	372	7340032	33956	3516892	7340032	103104	101276	0	243955	94	
11010048	11010048	3550680	168	7340032	3484	3547364	7340032	3736	252	0	98731	13	
11010048	11010048	3550816	32	7340032	3188	3547660	7340032	3644	456	0	78273	13	
11010048	11010048	3550340	508	7340032	35024	3515824	7340032	3896	552	0	88326	17	
11010048	11010048	3550828	20	7340032	992	3549856	7340032	1544	552	0	104009	16	
11010048	11010048	3550760	88	7340032	1272	3549576	7340032	1876	604	0	73491	60	
11010048	11010048	3550800	48	7340032	1460	3549388	7340032	2012	552	0	76599	43	
11010048	11010048	3550752	96	7340032	2220	3548628	7340032	2220	0	0	72807	0	
11010048	11010048	3550828	20	7340032	900	3549948	7340032	2656	1756	0	78696	79	
11010048	11010048	3550564	284	7340032	1960	3548888	7340032	1960	0	0	69081	0	
11010048	11010048	3550336	512	7340032	2032	3548816	7340032	2416	384	0	106615	19	
11010048	11010048	3550816	32	7340032	3012	3547836	7340032	3012	0	0	77111	0	
11010048	11010048	3550404	444	7340032	3344	3547504	7340032	3768	424	0	78374	14	
11010048	11010048	3550492	356	7340032	3264	3547584	7340032	3816	552	0	82581	16	
