b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
12582912	12582912	4058112	4058112	8388608	36064	8080160	8388608	105588	100204	0	258009	97	
12582912	12582912	4058024	4058200	8388608	7656	8108568	8388608	8424	768	0	95093	14	
12582912	12582912	4058068	4058156	8388608	37440	8078784	8388608	7432	2080	0	104495	27	
12582912	12582912	4057828	4058396	8388608	2180	8114044	8388608	2180	0	0	73665	0	
12582912	12582912	4058092	4058132	8388608	6260	8109964	8388608	6864	604	0	116148	27	
12582912	12582912	4058088	4058136	8388608	8828	8107396	8388608	9272	444	0	85421	7	
12582912	12582912	4058012	4058212	8388608	2416	8113808	8388608	5072	2656	0	85754	30	
12582912	12582912	4058052	4058172	8388608	2644	8113580	8388608	4340	1696	0	84670	70	
12582912	12582912	4058096	4058128	8388608	3176	8113048	8388608	3176	0	0	74720	0	
12582912	12582912	4058112	4058112	8388608	5328	8110896	8388608	5328	0	0	79884	0	
12582912	12582912	4058108	4058116	8388608	3336	8112888	8388608	3904	568	0	78405	10	
12582912	12582912	4058068	4058156	8388608	6592	8109632	8388608	6592	0	0	65468	0	
