b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565372	4565380	9437184	34692	9096060	9437184	103788	100468	0	310865	97	
14155776	14155776	4565244	4565508	9437184	1964	9128788	9437184	2684	720	0	92647	21	
14155776	14155776	4565304	4565448	9437184	6260	9124492	9437184	7712	1452	0	116187	73	
14155776	14155776	4565340	4565412	9437184	7068	9123684	9437184	9096	2028	0	117931	32	
14155776	14155776	4565200	4565552	9437184	5352	9125400	9437184	7396	2044	0	90035	28	
14155776	14155776	4565372	4565380	9437184	4072	9126680	9437184	4072	0	0	86835	0	
14155776	14155776	4565352	4565400	9437184	5352	9125400	9437184	7072	1720	0	93616	42	
14155776	14155776	4565376	4565376	9437184	6300	9124452	9437184	6300	0	0	82574	0	
14155776	14155776	4565204	4565548	9437184	2852	9127900	9437184	2852	0	0	76604	0	
14155776	14155776	4565120	4565632	9437184	2920	9127832	9437184	3236	316	0	76400	11	
