b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
11010048	11010048	3550836	3550860	7340032	35396	7066300	7340032	104312	99944	0	251922	98	
11010048	11010048	3550764	3550932	7340032	3768	7097928	7340032	5076	1308	0	106497	29	
11010048	11010048	3550848	3550848	7340032	4364	7097332	7340032	4988	624	0	83185	16	
11010048	11010048	3550844	3550852	7340032	6176	7095520	7340032	6704	528	0	88810	12	
11010048	11010048	3550752	3550944	7340032	34764	7066932	7340032	7040	3384	0	104831	54	
11010048	11010048	3550668	3551028	7340032	2452	7099244	7340032	3548	1096	0	80443	29	
11010048	11010048	3550796	3550900	7340032	2700	7098996	7340032	2700	0	0	71671	0	
11010048	11010048	3550844	3550852	7340032	7548	7094148	7340032	7548	0	0	77354	0	
11010048	11010048	3550844	3550852	7340032	2420	7099276	7340032	3888	1468	0	76594	19	
11010048	11010048	3550788	3550908	7340032	3784	7097912	7340032	3784	0	0	70375	0	
11010048	11010048	3550776	3550920	7340032	3144	7098552	7340032	3144	0	0	226429	0	
11010048	11010048	3550712	3550984	7340032	3948	7097748	7340032	3948	0	0	70728	0	
11010048	11010048	3550784	3550912	7340032	4008	7097688	7340032	4396	388	0	49134	9	
11010048	11010048	3550840	3550856	7340032	3476	7098220	7340032	3476	0	0	63644	0	
