b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
18874368	18874368	6087076	6087260	12582912	692	12173644	12582912	37656	36964	0	123308	97	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	988	56	0	53157	8	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	44059	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	42873	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	41682	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	41707	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	41538	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	41025	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	48125	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	42304	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	44486	0	
