b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
20447232	20447232	6594340	6594524	13631488	33340	13155524	13631488	37368	36676	0	155018	97	
20447232	20447232	6594340	6594524	13631488	636	13188228	13631488	692	56	0	55119	8	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	45876	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	44570	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	49683	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	54980	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	52313	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	49348	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	46465	0	
20447232	20447232	6594432	6594432	13631488	932	13187932	13631488	932	0	0	45765	0	
