b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
1572864	1572864	507252	507276	1048576	1172	1013356	1048576	52472	51300	0	96324	97	
1572864	1572864	507260	507268	1048576	1220	1013308	1048576	1220	0	0	37152	0	
1572864	1572864	507228	507300	1048576	1460	1013068	1048576	2148	688	0	50263	56	
1572864	1572864	507248	507280	1048576	1672	1012856	1048576	1840	168	0	45451	11	
1572864	1572864	507260	507268	1048576	2468	1012060	1048576	2576	108	0	40162	6	
1572864	1572864	507260	507268	1048576	2132	1012396	1048576	2636	504	0	49511	20	
1572864	1572864	507252	507276	1048576	2736	1011792	1048576	3528	792	0	62177	37	
1572864	1572864	507240	507288	1048576	2028	1012500	1048576	2028	0	0	86926	0	
1572864	1572864	507212	507316	1048576	2004	1012524	1048576	2004	0	0	48939	0	
1572864	1572864	507244	507284	1048576	1444	1013084	1048576	1540	96	0	45250	4	
1572864	1572864	507256	507272	1048576	2336	1012192	1048576	2336	0	0	80794	0	
1572864	1572864	507260	507268	1048576	2696	1011832	1048576	2696	0	0	43463	0	
1572864	1572864	507264	507264	1048576	2608	1011920	1048576	4856	2248	0	52626	83	
1572864	1572864	507244	507284	1048576	456	1014072	1048576	2364	1908	0	50663	73	
1572864	1572864	507264	507264	1048576	1644	1012884	1048576	1644	0	0	38972	0	
1572864	1572864	507252	507276	1048576	2484	1012044	1048576	2484	0	0	276644	0	
1572864	1572864	507248	507280	1048576	1248	1013280	1048576	1248	0	0	63214	0	
1572864	1572864	507252	507276	1048576	2112	1012416	1048576	2112	0	0	87477	0	
1572864	1572864	507260	507268	1048576	520	1014008	1048576	800	280	0	72181	13	
1572864	1572864	507244	507284	1048576	960	1013568	1048576	960	0	0	94646	0	
1572864	1572864	507204	507324	1048576	1272	1013256	1048576	1424	152	0	46179	15	
1572864	1572864	507220	507308	1048576	3016	1011512	1048576	3016	0	0	47524	0	
1572864	1572864	507224	507304	1048576	2112	1012416	1048576	4020	1908	0	66199	63	
1572864	1572864	507260	507268	1048576	3264	1011264	1048576	4236	972	0	60072	46	
1572864	1572864	507224	507304	1048576	1708	1012820	1048576	3484	1776	0	44459	54	
1572864	1572864	507260	507268	1048576	1884	1012644	1048576	1884	0	0	35103	0	
1572864	1572864	507264	507264	1048576	1636	1012892	1048576	1636	0	0	33291	0	
1572864	1572864	507248	507280	1048576	1080	1013448	1048576	1080	0	0	33990	0	
1572864	1572864	507256	507272	1048576	2280	1012248	1048576	2280	0	0	54112	0	
1572864	1572864	507224	507304	1048576	1020	1013508	1048576	2724	1704	0	50714	74	
1572864	1572864	507180	507348	1048576	2344	1012184	1048576	2344	0	0	50527	0	
1572864	1572864	507256	507272	1048576	1788	1012740	1048576	1788	0	0	38641	0	
1572864	1572864	507248	507280	1048576	1176	1013352	1048576	2408	1232	0	43601	68	
1572864	1572864	507232	507296	1048576	1268	1013260	1048576	1268	0	0	32776	0	
1572864	1572864	507264	507264	1048576	2660	1011868	1048576	2660	0	0	51968	0	
1572864	1572864	507256	507272	1048576	1200	1013328	1048576	2904	1704	0	38560	64	
1572864	1572864	507212	507316	1048576	364	1014164	1048576	364	0	0	32319	0	
1572864	1572864	507224	507304	1048576	1188	1013340	1048576	1188	0	0	134200	0	
1572864	1572864	507244	507284	1048576	3892	1010636	1048576	3904	12	0	38279	1	
1572864	1572864	507216	507312	1048576	2080	1012448	1048576	3204	1124	0	35293	28	
1572864	1572864	507228	507300	1048576	1988	1012540	1048576	1988	0	0	27443	0	
1572864	1572864	507216	507312	1048576	1280	1013248	1048576	1280	0	0	36901	0	
1572864	1572864	507220	507308	1048576	2224	1012304	1048576	2224	0	0	39353	0	
1572864	1572864	507208	507320	1048576	1624	1012904	1048576	3380	1756	0	46369	78	
1572864	1572864	507208	507320	1048576	2860	1011668	1048576	2860	0	0	64061	0	
1572864	1572864	507188	507340	1048576	336	1014192	1048576	336	0	0	46589	0	
1572864	1572864	507252	507276	1048576	396	1014132	1048576	396	0	0	49378	0	
1572864	1572864	507232	507296	1048576	1292	1013236	1048576	1292	0	0	36299	0	
1572864	1572864	507244	507284	1048576	2688	1011840	1048576	2688	0	0	34548	0	
1572864	1572864	507228	507300	1048576	780	1013748	1048576	2388	1608	0	35102	59	
1572864	1572864	507240	507288	1048576	1040	1013488	1048576	1040	0	0	38247	0	
1572864	1572864	507264	507264	1048576	1488	1013040	1048576	1488	0	0	33953	0	
1572864	1572864	507208	507320	1048576	324	1014204	1048576	324	0	0	28479	0	
1572864	1572864	507224	507304	1048576	1044	1013484	1048576	1044	0	0	28367	0	
1572864	1572864	507192	507336	1048576	224	1014304	1048576	224	0	0	26775	0	
1572864	1572864	507232	507296	1048576	2688	1011840	1048576	2688	0	0	45479	0	
1572864	1572864	507264	507264	1048576	1032	1013496	1048576	2640	1608	0	42031	59	
1572864	1572864	507252	507276	1048576	2828	1011700	1048576	2828	0	0	34728	0	
1572864	1572864	507264	507264	1048576	2056	1012472	1048576	2056	0	0	31451	0	
1572864	1572864	507264	507264	1048576	1048	1013480	1048576	1048	0	0	29253	0	
1572864	1572864	507244	507284	1048576	404	1014124	1048576	404	0	0	28893	0	
1572864	1572864	507240	507288	1048576	868	1013660	1048576	868	0	0	77002	0	
1572864	1572864	507260	507268	1048576	2884	1011644	1048576	2884	0	0	59253	0	
1572864	1572864	507228	507300	1048576	1864	1012664	1048576	3752	1888	0	54361	65	
1572864	1572864	507260	507268	1048576	2168	1012360	1048576	2168	0	0	31650	0	
1572864	1572864	507232	507296	1048576	1764	1012764	1048576	1764	0	0	29859	0	
1572864	1572864	507256	507272	1048576	2652	1011876	1048576	2652	0	0	121587	0	
1572864	1572864	507244	507284	1048576	2652	1011876	1048576	2652	0	0	32011	0	
1572864	1572864	507252	507276	1048576	492	1014036	1048576	2220	1728	0	29778	65	
1572864	1572864	507248	507280	1048576	1980	1012548	1048576	1980	0	0	30575	0	
1572864	1572864	507252	507276	1048576	280	1014248	1048576	1888	1608	0	32193	81	
1572864	1572864	507256	507272	1048576	1588	1012940	1048576	1588	0	0	26100	0	
1572864	1572864	507212	507316	1048576	1084	1013444	1048576	1084	0	0	24324	0	
1572864	1572864	507208	507320	1048576	724	1013804	1048576	724	0	0	22553	0	
1572864	1572864	507228	507300	1048576	592	1013936	1048576	592	0	0	42237	0	
1572864	1572864	507192	507336	1048576	2032	1012496	1048576	2032	0	0	63201	0	
1572864	1572864	507264	507264	1048576	400	1014128	1048576	2060	1660	0	50226	81	
1572864	1572864	507240	507288	1048576	240	1014288	1048576	240	0	0	23510	0	
1572864	1572864	507164	507364	1048576	1428	1013100	1048576	1428	0	0	24354	0	
1572864	1572864	507260	507268	1048576	964	1013564	1048576	964	0	0	23166	0	
1572864	1572864	507212	507316	1048576	744	1013784	1048576	744	0	0	22630	0	
1572864	1572864	507248	507280	1048576	2040	1012488	1048576	2040	0	0	27250	0	
1572864	1572864	507244	507284	1048576	724	1013804	1048576	2332	1608	0	54625	78	
1572864	1572864	507256	507272	1048576	804	1013724	1048576	804	0	0	44353	0	
1572864	1572864	507232	507296	1048576	532	1013996	1048576	532	0	0	22879	0	
1572864	1572864	507256	507272	1048576	1056	1013472	1048576	1056	0	0	44743	0	
1572864	1572864	507224	507304	1048576	384	1014144	1048576	384	0	0	23407	0	
1572864	1572864	507232	507296	1048576	432	1014096	1048576	432	0	0	22007	0	
1572864	1572864	507260	507268	1048576	1692	1012836	1048576	1692	0	0	26719	0	
1572864	1572864	507244	507284	1048576	280	1014248	1048576	1888	1608	0	27434	95	
1572864	1572864	507256	507272	1048576	1176	1013352	1048576	1176	0	0	23502	0	
1572864	1572864	507264	507264	1048576	592	1013936	1048576	592	0	0	43062	0	
1572864	1572864	507256	507272	1048576	1024	1013504	1048576	1024	0	0	44699	0	
1572864	1572864	507244	507284	1048576	472	1014056	1048576	472	0	0	23730	0	
1572864	1572864	507248	507280	1048576	1980	1012548	1048576	1980	0	0	68476	0	
1572864	1572864	507236	507292	1048576	352	1014176	1048576	1960	1608	0	28090	81	
1572864	1572864	507228	507300	1048576	400	1014128	1048576	400	0	0	21941	0	
1572864	1572864	507248	507280	1048576	804	1013724	1048576	804	0	0	23695	0	
1572864	1572864	507252	507276	1048576	1096	1013432	1048576	1096	0	0	23868	0	
1572864	1572864	507240	507288	1048576	1276	1013252	1048576	1276	0	0	44814	0	
1572864	1572864	507212	507316	1048576	312	1014216	1048576	312	0	0	41954	0	
1572864	1572864	507260	507268	1048576	2100	1012428	1048576	2100	0	0	27366	0	
1572864	1572864	507220	507308	1048576	1336	1013192	1048576	2944	1608	0	56014	76	
1572864	1572864	507220	507308	1048576	400	1014128	1048576	400	0	0	23146	0	
1572864	1572864	507240	507288	1048576	384	1014144	1048576	384	0	0	22583	0	
1572864	1572864	507256	507272	1048576	1056	1013472	1048576	1056	0	0	23970	0	
1572864	1572864	507228	507300	1048576	744	1013784	1048576	744	0	0	23149	0	
1572864	1572864	507216	507312	1048576	2252	1012276	1048576	2252	0	0	27000	0	
1572864	1572864	507228	507300	1048576	400	1014128	1048576	2060	1660	0	49086	73	
1572864	1572864	507240	507288	1048576	764	1013764	1048576	764	0	0	44119	0	
1572864	1572864	507224	507304	1048576	1216	1013312	1048576	1216	0	0	24214	0	
1572864	1572864	507240	507288	1048576	532	1013996	1048576	532	0	0	42185	0	
1572864	1572864	507252	507276	1048576	652	1013876	1048576	652	0	0	23149	0	
1572864	1572864	507216	507312	1048576	24	1014504	1048576	24	0	0	21366	0	
1572864	1572864	507236	507292	1048576	2080	1012448	1048576	2080	0	0	28012	0	
1572864	1572864	507260	507268	1048576	532	1013996	1048576	2140	1608	0	31258	77	
1572864	1572864	507216	507312	1048576	1648	1012880	1048576	1648	0	0	24788	0	
1572864	1572864	507256	507272	1048576	592	1013936	1048576	592	0	0	42555	0	
1572864	1572864	507248	507280	1048576	472	1014056	1048576	472	0	0	22800	0	
1572864	1572864	507232	507296	1048576	312	1014216	1048576	312	0	0	42280	0	
1572864	1572864	507256	507272	1048576	1692	1012836	1048576	1692	0	0	26541	0	
1572864	1572864	507256	507272	1048576	612	1013916	1048576	2220	1608	0	28318	95	
1572864	1572864	507228	507300	1048576	904	1013624	1048576	904	0	0	43701	0	
1572864	1572864	507248	507280	1048576	744	1013784	1048576	744	0	0	23068	0	
1572864	1572864	507264	507264	1048576	744	1013784	1048576	744	0	0	33119	0	
1572864	1572864	507228	507300	1048576	744	1013784	1048576	744	0	0	25239	0	
1572864	1572864	507256	507272	1048576	592	1013936	1048576	592	0	0	43372	0	
1572864	1572864	507260	507268	1048576	2120	1012408	1048576	2120	0	0	48583	0	
1572864	1572864	507212	507316	1048576	1176	1013352	1048576	2784	1608	0	53825	75	
1572864	1572864	507256	507272	1048576	948	1013580	1048576	1620	672	0	53065	57	
1572864	1572864	507248	507280	1048576	1336	1013192	1048576	1336	0	0	45252	0	
1572864	1572864	507228	507300	1048576	636	1013892	1048576	636	0	0	42455	0	
1572864	1572864	507176	507352	1048576	372	1014156	1048576	372	0	0	42001	0	
1572864	1572864	507220	507308	1048576	1900	1012628	1048576	1900	0	0	47483	0	
1572864	1572864	507236	507292	1048576	312	1014216	1048576	1920	1608	0	50879	84	
1572864	1572864	507208	507320	1048576	532	1013996	1048576	532	0	0	42773	0	
1572864	1572864	507220	507308	1048576	684	1013844	1048576	684	0	0	42580	0	
1572864	1572864	507212	507316	1048576	1056	1013472	1048576	1056	0	0	43971	0	
1572864	1572864	507228	507300	1048576	724	1013804	1048576	724	0	0	23919	0	
1572864	1572864	507192	507336	1048576	2032	1012496	1048576	2032	0	0	26584	0	
1572864	1572864	507256	507272	1048576	312	1014216	1048576	1972	1660	0	28068	81	
1572864	1572864	507256	507272	1048576	904	1013624	1048576	904	0	0	43830	0	
1572864	1572864	507224	507304	1048576	264	1014264	1048576	264	0	0	42579	0	
1572864	1572864	507248	507280	1048576	432	1014096	1048576	432	0	0	23396	0	
1572864	1572864	507232	507296	1048576	492	1014036	1048576	492	0	0	22080	0	
1572864	1572864	507252	507276	1048576	384	1014144	1048576	384	0	0	21698	0	
1572864	1572864	507252	507276	1048576	1992	1012536	1048576	1992	0	0	47451	0	
1572864	1572864	507212	507316	1048576	804	1013724	1048576	2412	1608	0	48702	80	
1572864	1572864	507256	507272	1048576	1132	1013396	1048576	1132	0	0	40005	0	
1572864	1572864	507256	507272	1048576	1176	1013352	1048576	1176	0	0	25729	0	
1572864	1572864	507212	507316	1048576	804	1013724	1048576	804	0	0	22517	0	
1572864	1572864	507264	507264	1048576	964	1013564	1048576	964	0	0	22547	0	
1572864	1572864	507240	507288	1048576	2020	1012508	1048576	2020	0	0	26038	0	
1572864	1572864	507208	507320	1048576	432	1014096	1048576	2040	1608	0	28374	79	
1572864	1572864	507256	507272	1048576	532	1013996	1048576	532	0	0	21454	0	
1572864	1572864	507240	507288	1048576	140	1014388	1048576	140	0	0	19993	0	
1572864	1572864	507236	507292	1048576	1276	1013252	1048576	1276	0	0	22206	0	
1572864	1572864	507216	507312	1048576	432	1014096	1048576	432	0	0	21109	0	
1572864	1572864	507248	507280	1048576	432	1014096	1048576	432	0	0	20672	0	
1572864	1572864	507232	507296	1048576	2160	1012368	1048576	2160	0	0	26307	0	
1572864	1572864	507216	507312	1048576	372	1014156	1048576	1980	1608	0	29408	74	
1572864	1572864	507264	507264	1048576	1428	1013100	1048576	1428	0	0	22859	0	
1572864	1572864	507236	507292	1048576	352	1014176	1048576	352	0	0	20608	0	
1572864	1572864	507260	507268	1048576	372	1014156	1048576	372	0	0	20441	0	
1572864	1572864	507244	507284	1048576	452	1014076	1048576	452	0	0	20261	0	
1572864	1572864	507224	507304	1048576	2200	1012328	1048576	2200	0	0	25823	0	
1572864	1572864	507216	507312	1048576	372	1014156	1048576	1980	1608	0	26474	73	
1572864	1572864	507244	507284	1048576	372	1014156	1048576	372	0	0	20454	0	
1572864	1572864	507252	507276	1048576	804	1013724	1048576	804	0	0	21235	0	
1572864	1572864	507216	507312	1048576	432	1014096	1048576	432	0	0	20286	0	
1572864	1572864	507248	507280	1048576	864	1013664	1048576	864	0	0	20964	0	
1572864	1572864	507256	507272	1048576	252	1014276	1048576	252	0	0	19726	0	
1572864	1572864	507240	507288	1048576	2084	1012444	1048576	2084	0	0	26337	0	
1572864	1572864	507256	507272	1048576	512	1014016	1048576	2172	1660	0	27798	79	
1572864	1572864	507208	507320	1048576	1428	1013100	1048576	1428	0	0	22530	0	
1572864	1572864	507176	507352	1048576	744	1013784	1048576	744	0	0	21152	0	
1572864	1572864	507228	507300	1048576	756	1013772	1048576	756	0	0	21466	0	
1572864	1572864	507216	507312	1048576	24	1014504	1048576	24	0	0	18869	0	
1572864	1572864	507260	507268	1048576	2160	1012368	1048576	2160	0	0	25620	0	
1572864	1572864	507260	507268	1048576	372	1014156	1048576	1980	1608	0	28720	74	
1572864	1572864	507260	507268	1048576	340	1014188	1048576	340	0	0	20667	0	
1572864	1572864	507248	507280	1048576	1368	1013160	1048576	1368	0	0	22183	0	
1572864	1572864	507232	507296	1048576	352	1014176	1048576	352	0	0	20442	0	
1572864	1572864	507256	507272	1048576	804	1013724	1048576	804	0	0	20910	0	
1572864	1572864	507264	507264	1048576	1888	1012640	1048576	1888	0	0	24300	0	
1572864	1572864	507256	507272	1048576	252	1014276	1048576	1860	1608	0	26502	85	
1572864	1572864	507256	507272	1048576	724	1013804	1048576	724	0	0	21232	0	
1572864	1572864	507224	507304	1048576	432	1014096	1048576	432	0	0	20059	0	
1572864	1572864	507216	507312	1048576	1056	1013472	1048576	1056	0	0	21220	0	
1572864	1572864	507236	507292	1048576	552	1013976	1048576	552	0	0	20455	0	
1572864	1572864	507232	507296	1048576	384	1014144	1048576	384	0	0	20071	0	
1572864	1572864	507260	507268	1048576	1692	1012836	1048576	1692	0	0	24849	0	
1572864	1572864	507256	507272	1048576	352	1014176	1048576	1960	1608	0	28557	95	
1572864	1572864	507244	507284	1048576	312	1014216	1048576	312	0	0	20553	0	
1572864	1572864	507232	507296	1048576	1236	1013292	1048576	1236	0	0	22116	0	
1572864	1572864	507232	507296	1048576	1056	1013472	1048576	1056	0	0	22624	0	
1572864	1572864	507264	507264	1048576	352	1014176	1048576	352	0	0	20293	0	
1572864	1572864	507224	507304	1048576	2200	1012328	1048576	2200	0	0	65618	0	
1572864	1572864	507260	507268	1048576	448	1014080	1048576	2056	1608	0	26058	73	
1572864	1572864	507252	507276	1048576	652	1013876	1048576	652	0	0	21224	0	
1572864	1572864	507248	507280	1048576	312	1014216	1048576	312	0	0	20095	0	
1572864	1572864	507228	507300	1048576	1336	1013192	1048576	1336	0	0	22062	0	
1572864	1572864	507248	507280	1048576	392	1014136	1048576	392	0	0	20141	0	
1572864	1572864	507248	507280	1048576	472	1014056	1048576	472	0	0	20549	0	
1572864	1572864	507228	507300	1048576	1972	1012556	1048576	1972	0	0	25880	0	
1572864	1572864	507248	507280	1048576	484	1014044	1048576	2104	1620	0	27762	82	
1572864	1572864	507208	507320	1048576	1276	1013252	1048576	1276	0	0	22616	0	
1572864	1572864	507224	507304	1048576	384	1014144	1048576	384	0	0	20545	0	
1572864	1572864	507232	507296	1048576	384	1014144	1048576	384	0	0	20120	0	
1572864	1572864	507256	507272	1048576	292	1014236	1048576	292	0	0	19928	0	
1572864	1572864	507264	507264	1048576	1920	1012608	1048576	1920	0	0	24576	0	
1572864	1572864	507248	507280	1048576	432	1014096	1048576	2040	1608	0	30455	83	
1572864	1572864	507240	507288	1048576	756	1013772	1048576	756	0	0	22831	0	
1572864	1572864	507220	507308	1048576	1348	1013180	1048576	1348	0	0	23785	0	
1572864	1572864	507208	507320	1048576	312	1014216	1048576	312	0	0	21364	0	
1572864	1572864	507208	507320	1048576	724	1013804	1048576	724	0	0	22028	0	
1572864	1572864	507260	507268	1048576	312	1014216	1048576	312	0	0	20752	0	
1572864	1572864	507256	507272	1048576	2040	1012488	1048576	2040	0	0	47850	0	
1572864	1572864	507260	507268	1048576	924	1013604	1048576	2532	1608	0	51676	78	
1572864	1572864	507200	507328	1048576	1056	1013472	1048576	1056	0	0	44058	0	
1572864	1572864	507244	507284	1048576	1176	1013352	1048576	1176	0	0	24590	0	
1572864	1572864	507208	507320	1048576	292	1014236	1048576	292	0	0	22026	0	
1572864	1572864	507252	507276	1048576	592	1013936	1048576	592	0	0	22200	0	
1572864	1572864	507244	507284	1048576	1980	1012548	1048576	1980	0	0	26161	0	
1572864	1572864	507256	507272	1048576	252	1014276	1048576	1860	1608	0	27366	81	
1572864	1572864	507252	507276	1048576	432	1014096	1048576	432	0	0	22782	0	
1572864	1572864	507224	507304	1048576	1488	1013040	1048576	1488	0	0	45967	0	
1572864	1572864	507248	507280	1048576	904	1013624	1048576	904	0	0	43956	0	
1572864	1572864	507248	507280	1048576	592	1013936	1048576	592	0	0	42638	0	
1572864	1572864	507176	507352	1048576	1980	1012548	1048576	1980	0	0	26370	0	
1572864	1572864	507208	507320	1048576	312	1014216	1048576	1920	1608	0	32006	81	
1572864	1572864	507256	507272	1048576	804	1013724	1048576	804	0	0	22692	0	
1572864	1572864	507264	507264	1048576	312	1014216	1048576	312	0	0	21436	0	
1572864	1572864	507168	507360	1048576	744	1013784	1048576	744	0	0	21970	0	
1572864	1572864	507244	507284	1048576	204	1014324	1048576	204	0	0	21020	0	
1572864	1572864	507228	507300	1048576	24	1014504	1048576	24	0	0	39445	0	
1572864	1572864	507252	507276	1048576	2012	1012516	1048576	2012	0	0	48228	0	
1572864	1572864	507228	507300	1048576	864	1013664	1048576	2484	1620	0	51425	80	
