b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
4718592	4718592	1521792	0	3145728	264	1521528	3145728	568252	567988	0	174392	155	
4718592	4718592	1521792	0	3145728	48	1521744	3145728	300	252	0	56672	95	
4718592	4718592	1521792	0	3145728	36	1521756	3145728	48	12	0	28638	25	
4718592	4718592	1521792	0	3145728	312	1521480	3145728	312	0	0	86627	0	
4718592	4718592	1521792	0	3145728	36	1521756	3145728	324	288	0	47078	92	
4718592	4718592	1521792	0	3145728	36	1521756	3145728	36	0	0	29482	0	
4718592	4718592	1521792	0	3145728	48	1521744	3145728	48	0	0	26429	0	
4718592	4718592	1521792	0	3145728	156	1521636	3145728	156	0	0	28397	0	
4718592	4718592	1521792	0	3145728	216	1521576	3145728	264	48	0	29806	30	
4718592	4718592	1521792	0	3145728	108	1521684	3145728	216	108	0	28862	50	
4718592	4718592	1521792	0	3145728	132	1521660	3145728	132	0	0	43271	0	
4718592	4718592	1521788	4	3145728	728	1521064	3145728	271144	270416	0	37906	204860	
4718592	4718592	1521752	40	3145728	43648	1478144	3145728	26848	328	0	117904	45	
