b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565308	4565444	9437184	36568	9094184	9437184	105812	100612	0	226168	97	
14155776	14155776	4565360	4565392	9437184	7768	9122984	9437184	8272	504	0	74439	9	
14155776	14155776	4565344	4565408	9437184	2972	9127780	9437184	6392	3420	0	60026	44	
14155776	14155776	4565364	4565388	9437184	6772	9123980	9437184	6940	168	0	55373	5	
14155776	14155776	4565352	4565400	9437184	4232	9126520	9437184	4944	712	0	56893	10	
14155776	14155776	4565244	4565508	9437184	4388	9126364	9437184	4388	0	0	48900	0	
14155776	14155776	4565340	4565412	9437184	5920	9124832	9437184	7580	1660	0	52334	37	
14155776	14155776	4565360	4565392	9437184	6240	9124512	9437184	6240	0	0	46992	0	
14155776	14155776	4565372	4565380	9437184	2716	9128036	9437184	2716	0	0	50310	0	
14155776	14155776	4565132	4565620	9437184	2688	9128064	9437184	3076	388	0	46183	14	
