b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
11010048	11010048	3550848	3550848	7340032	35164	7066532	7340032	105396	99796	0	202514	93	
11010048	11010048	3550732	3550964	7340032	2808	7098888	7340032	4836	2028	0	57673	36	
11010048	11010048	3550804	3550892	7340032	5576	7096120	7340032	6296	720	0	50093	25	
11010048	11010048	3550844	3550852	7340032	6500	7095196	7340032	6500	0	0	46184	0	
11010048	11010048	3550444	3551252	7340032	3260	7098436	7340032	3500	240	0	63277	3	
11010048	11010048	3550836	3550860	7340032	3540	7098156	7340032	4768	1228	0	51501	37	
11010048	11010048	3550848	3550848	7340032	2736	7098960	7340032	2736	0	0	38986	0	
11010048	11010048	3550792	3550904	7340032	9004	7092692	7340032	9004	0	0	48925	0	
11010048	11010048	3550732	3550964	7340032	2572	7099124	7340032	4940	2368	0	46657	26	
11010048	11010048	3550784	3550912	7340032	3892	7097804	7340032	3892	0	0	42630	0	
11010048	11010048	3550804	3550892	7340032	4232	7097464	7340032	4340	108	0	44526	2	
11010048	11010048	3550684	3551012	7340032	3912	7097784	7340032	3912	0	0	43191	0	
11010048	11010048	3550824	3550872	7340032	2420	7099276	7340032	3420	1000	0	44348	25	
11010048	11010048	3550660	3551036	7340032	2912	7098784	7340032	2912	0	0	41953	0	
