b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
12582912	12582912	4058024	4058200	8388608	33280	8082944	8388608	107480	100720	0	320978	93	
12582912	12582912	4057428	4058796	8388608	2536	8113688	8388608	3688	1152	0	60093	17	
12582912	12582912	4057948	4058276	8388608	2572	8113652	8388608	3532	960	0	51655	37	
12582912	12582912	4057940	4058284	8388608	4900	8111324	8388608	4900	0	0	45600	0	
12582912	12582912	4058084	4058140	8388608	4680	8111544	8388608	4900	220	0	49157	4	
12582912	12582912	4058092	4058132	8388608	2736	8113488	8388608	2736	0	0	42206	0	
12582912	12582912	4057844	4058380	8388608	5536	8110688	8388608	5536	0	0	48521	0	
12582912	12582912	4058104	4058120	8388608	5960	8110264	8388608	8568	2608	0	53442	47	
12582912	12582912	4057972	4058252	8388608	3444	8112780	8388608	3444	0	0	42797	0	
12582912	12582912	4058060	4058164	8388608	3504	8112720	8388608	3612	108	0	50094	3	
12582912	12582912	4058096	4058128	8388608	3080	8113144	8388608	3396	316	0	45394	9	
12582912	12582912	4057844	4058380	8388608	3284	8112940	8388608	3284	0	0	42794	0	
