b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
6291456	6291456	2029044	2029068	4194304	541004	3517108	4194304	898728	436748	0	1085845	73	
6291456	6291456	2029044	2029068	4194304	594440	3463672	4194304	816400	311640	0	927144	67	
6291456	6291456	2029028	2029084	4194304	47452	4010660	4194304	47452	0	0	152691	0	
6291456	6291456	2029044	2029068	4194304	765216	3292896	4194304	650380	8340	0	1023525	17	
6291456	6291456	2029044	2029068	4194304	475664	3582448	4194304	924028	490480	0	1001244	76	
6291456	6291456	2029024	2029088	4194304	584764	3473348	4194304	812788	293328	0	1158009	67	
6291456	6291456	2029040	2029072	4194304	115776	3942336	4194304	83832	0	0	225456	0	
6291456	6291456	2029024	2029088	4194304	764776	3293336	4194304	729160	54552	0	832262	65	
6291456	6291456	2029044	2029068	4194304	451488	3606624	4194304	956448	552008	0	820799	81	
6291456	6291456	2029044	2029068	4194304	582444	3475668	4194304	795560	295260	0	965568	73	
6291456	6291456	2029044	2029068	4194304	273212	3784900	4194304	202068	0	0	360917	0	
6291456	6291456	2029044	2029068	4194304	699224	3358888	4194304	711768	106848	0	901006	52	
6291456	6291456	2029044	2029068	4194304	435356	3622756	4194304	996260	604880	0	1078020	99	
6291456	6291456	2029040	2029072	4194304	28036	4030076	4194304	28036	0	0	94922	0	
6291456	6291456	2029044	2029068	4194304	693444	3364668	4194304	606300	1080	0	1022284	3	
6291456	6291456	2029044	2029068	4194304	460532	3597580	4194304	886624	454860	0	896097	75	
6291456	6291456	2029044	2029068	4194304	588960	3469152	4194304	832704	325604	0	1067776	75	
6291456	6291456	2029044	2029068	4194304	81616	3976496	4194304	65744	0	0	149783	0	
6291456	6291456	2029044	2029068	4194304	782496	3275616	4194304	727964	50464	0	875829	76	
6291456	6291456	2029044	2029068	4194304	447012	3611100	4194304	946520	551740	0	818558	81	
6291456	6291456	2029044	2029068	4194304	591204	3466908	4194304	793160	294920	0	834181	74	
6291456	6291456	2029044	2029068	4194304	263212	3794900	4194304	189028	0	0	468455	0	
6291456	6291456	2029044	2029068	4194304	699696	3358416	4194304	707788	93768	0	635452	49	
6291456	6291456	2029044	2029068	4194304	418092	3640020	4194304	1007040	613820	0	1244217	99	
6291456	6291456	2029044	2029068	4194304	29996	4028116	4194304	29996	0	0	95931	0	
6291456	6291456	2029024	2029088	4194304	673492	3384620	4194304	609684	1020	0	778925	3	
6291456	6291456	2029044	2029068	4194304	511684	3546428	4194304	908324	457104	0	1109642	75	
