b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565284	4565468	9437184	33304	9097448	9437184	37656	36964	0	142654	97	
14155776	14155776	4565284	4565468	9437184	636	9130116	9437184	692	56	0	50004	8	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	41790	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	39686	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	39986	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	38245	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	38637	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	59834	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	42281	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	56374	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	82093	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	40263	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	41360	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	41776	0	
14155776	14155776	4565376	4565376	9437184	932	9129820	9437184	932	0	0	42318	0	
