b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
33030144	33030144	10788104	10516984	11157504	4892668	16412420	22020096	4492592	135576	0	8218265	0	
33030144	33030144	10652544	10652544	11010048	5073516	16231572	22020096	4499728	0	0	4693492	0	
33030144	33030144	10855968	10449120	22233088	2713180	18591908	22020096	6929472	4552896	0	7179452	104	
33030144	33030144	10652540	10652548	11010048	5180112	16124976	22020096	4536092	0	0	7357194	0	
33030144	33030144	10855960	10449128	22233088	2795040	18510048	22020096	6961556	4558856	0	5186819	104	
33030144	33030144	10957752	10347336	22335488	3715996	17589092	22020096	5968568	2681724	0	3558837	112	
33030144	33030144	10652532	10652556	22020096	2683044	18622044	22020096	6829600	4469860	0	6518424	99	
33030144	33030144	10957740	10347348	22335488	3685184	17619904	22020096	5964408	2707908	0	7227109	112	
33030144	33030144	11110420	10194668	22487040	3310368	17994720	22020096	6616624	3744720	0	5462476	113	
33030144	33030144	11110420	10194668	22487040	3252904	18052184	22020096	6601620	3714316	0	5191610	114	
33030144	33030144	10652520	10652568	22020096	3438204	17866884	22020096	5916636	2871904	0	5607849	100	
33030144	33030144	10652536	10652552	22020096	2574636	18730452	22020096	6779752	4505600	0	8547903	99	
33030144	33030144	10652536	10652552	22020096	3807272	17497816	22020096	5647164	2332984	0	7711310	98	
33030144	33030144	10652532	10652556	22020096	3552920	17752168	22020096	5955468	2887284	0	3516132	99	
33030144	33030144	11339420	9965668	22716416	3430684	17874404	22020096	6719916	3731612	0	4677717	122	
33030144	33030144	10618272	10686816	22020096	3814624	17490464	22020096	5591892	2256412	0	5276067	99	
33030144	33030144	10652540	10652548	22020096	3343852	17961236	22020096	6140980	3253936	0	5810968	98	
33030144	33030144	11339416	9965672	22716416	3335536	17969552	22020096	6697084	3755064	0	9419676	122	
33030144	33030144	10652532	10652556	22020096	3335672	17969416	22020096	6154960	3295400	0	5275971	98	
33030144	33030144	10652532	10652556	22020096	3559024	17746064	22020096	5901080	2826860	0	3587976	97	
33030144	33030144	10652532	10652556	22020096	3082444	18222644	22020096	5620604	2988224	0	3261873	99	
33030144	33030144	10652536	10652552	22020096	3565984	17739104	22020096	5868232	2799376	0	6492429	97	
33030144	33030144	10652520	10652568	22020096	3342164	17962924	22020096	5999868	3070800	0	6748298	99	
33030144	33030144	10652540	10652548	22020096	3246768	18058320	22020096	5794240	2942020	0	3976990	100	
