b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
1572864	1572864	507260	507268	1048576	79904	934624	1048576	288176	208288	0	293942	91	
1572864	1572864	507256	507272	1048576	205936	808592	1048576	285812	79876	0	525598	99	
1572864	1572864	507264	507264	1048576	152860	861668	1048576	358796	205936	0	851714	100	
1572864	1572864	507208	507320	1048576	175940	838588	1048576	328436	152496	0	583203	99	
1572864	1572864	507252	507276	1048576	104080	910448	1048576	279992	175912	0	569994	99	
1572864	1572864	507248	507280	1048576	6276	1008252	1048576	110220	103944	0	239829	99	
1572864	1572864	503400	511128	1048576	283692	730836	1048576	264368	6276	0	98482	100	
1572864	1572864	507260	507268	1048576	161228	853300	1048576	419292	258064	0	196129	99	
1572864	1572864	507264	507264	1048576	272500	742028	1048576	406056	161200	0	94658	99	
1572864	1572864	505384	509144	1048576	165336	849192	1048576	409228	243892	0	127948	99	
1572864	1572864	507212	507316	1048576	114556	899972	1048576	279864	165308	0	108798	99	
