b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
12582912	12582912	4058080	4058144	8388608	34796	8081428	8388608	104040	101576	0	248489	97	
12582912	12582912	4057848	4058376	8388608	4792	8111432	8388608	4792	0	0	75531	0	
12582912	12582912	4058000	4058224	8388608	2728	8113496	8388608	4948	2220	0	67321	46	
12582912	12582912	4058100	4058124	8388608	3672	8112552	8388608	3672	0	0	48899	0	
12582912	12582912	4058080	4058144	8388608	2532	8113692	8388608	3028	496	0	48818	13	
12582912	12582912	4057936	4058288	8388608	2428	8113796	8388608	2500	72	0	44522	2	
12582912	12582912	4057948	4058276	8388608	4884	8111340	8388608	4884	0	0	50948	0	
12582912	12582912	4058104	4058120	8388608	3676	8112548	8388608	5000	1324	0	52165	27	
12582912	12582912	4058108	4058116	8388608	2680	8113544	8388608	2680	0	0	40153	0	
12582912	12582912	4058060	4058164	8388608	4644	8111580	8388608	4644	0	0	47760	0	
12582912	12582912	4057888	4058336	8388608	5800	8110424	8388608	6500	700	0	48287	15	
12582912	12582912	4058016	4058208	8388608	1056	8115168	8388608	1056	0	0	41361	0	
