b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565128	4565624	9437184	33956	9096796	9437184	103796	100120	0	247925	93	
14155776	14155776	4565000	4565752	9437184	3880	9126872	9437184	5872	1992	0	83054	54	
14155776	14155776	4565376	4565376	9437184	7832	9122920	9437184	9260	1428	0	74721	36	
14155776	14155776	4565288	4565464	9437184	3000	9127752	9437184	4644	1644	0	63282	20	
14155776	14155776	4565344	4565408	9437184	1920	9128832	9437184	2140	220	0	47450	7	
14155776	14155776	4565372	4565380	9437184	5688	9125064	9437184	5688	0	0	58991	0	
14155776	14155776	4565352	4565400	9437184	5696	9125056	9437184	6828	1132	0	53101	19	
14155776	14155776	4565216	4565536	9437184	3284	9127468	9437184	3284	0	0	71092	0	
14155776	14155776	4565352	4565400	9437184	6932	9123820	9437184	6932	0	0	77502	0	
14155776	14155776	4565360	4565392	9437184	5260	9125492	9437184	6272	1012	0	82673	14	
