b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
18874368	18874368	6087076	92	12582912	692	6086476	12582912	37656	36964	0	155333	97	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	988	56	0	81257	8	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	62552	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	47671	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	43190	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	40843	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	40619	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	40701	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	41156	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	43862	0	
18874368	18874368	6087168	0	12582912	932	6086236	12582912	932	0	0	69139	0	
