b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
15728640	15728640	5072548	92	10485760	33304	5039336	10485760	37368	36676	0	134224	97	
15728640	15728640	5072548	92	10485760	636	5072004	10485760	692	56	0	63357	8	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	41641	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	38331	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	40519	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	39678	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	63502	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	43286	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	56134	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	46497	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	41111	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	39112	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	38059	0	
15728640	15728640	5072640	0	10485760	932	5071708	10485760	932	0	0	39978	0	
