b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565284	92	9437184	692	4564684	9437184	37248	36556	0	120329	97	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	988	56	0	63743	8	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	38963	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	37271	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	36310	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	37054	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	36050	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	36449	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	38714	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	36089	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	52027	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	59158	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	41301	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	57970	0	
14155776	14155776	4565376	0	9437184	932	4564444	9437184	932	0	0	40259	0	
