b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
20447232	20447232	6594300	132	13631488	33064	6561368	13631488	37092	36676	0	171087	97	
20447232	20447232	6594340	92	13631488	636	6593796	13631488	692	56	0	80037	13	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	46347	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	43187	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	42718	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	41782	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	42008	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	66810	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	47936	0	
20447232	20447232	6594432	0	13631488	932	6593500	13631488	932	0	0	62388	0	
