b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
4718592	4718592	1927416	1116168	3588096	264	3043320	3145728	568252	567988	0	183267	155	
4718592	4718592	1521792	1521792	3145728	48	3043536	3145728	300	252	0	53220	95	
4718592	4718592	1521792	1521792	3145728	36	3043548	3145728	48	12	0	29345	25	
4718592	4718592	1521792	1521792	3145728	108	3043476	3145728	108	0	0	47786	0	
4718592	4718592	1521792	1521792	3145728	36	3043548	3145728	108	72	0	27593	66	
4718592	4718592	1521792	1521792	3145728	252	3043332	3145728	252	0	0	42465	0	
4718592	4718592	1521792	1521792	3145728	48	3043536	3145728	264	216	0	50337	85	
4718592	4718592	1521792	1521792	3145728	156	3043428	3145728	156	0	0	26834	0	
4718592	4718592	1521792	1521792	3145728	216	3043368	3145728	264	48	0	28662	30	
4718592	4718592	1521792	1521792	3145728	108	3043476	3145728	216	108	0	25435	50	
4718592	4718592	1521792	1521792	3145728	132	3043452	3145728	132	0	0	47428	0	
4718592	4718592	1792204	1251380	3440640	716	3042868	3145728	271132	270416	0	167420	204860	
4718592	4718592	1521752	1521832	3145728	43620	2999964	3145728	26848	316	0	132774	44	
